region,permit_number,action,requester,cause,cause_detail,place,street,street_number,block,parcel,from_date,to_date,approved_by,species,number_of_trees,tree_action,notes
מנשה שרון,16032,כריתה,רחל ליאל,בניה,,הרצליה,י.ל ברוך,16,6536,671,2019-07-09 00:00:00.000000,2021-07-11 00:00:00.000000,סוהיל זיידן,יוקה,1,,כריתה
מנשה שרון,16032,כריתה,רחל ליאל,בניה,,הרצליה,י.ל ברוך,16,6536,671,2019-07-09 00:00:00.000000,2021-07-11 00:00:00.000000,סוהיל זיידן,סיגלון עלה-מימוסה,1,,כריתה
מנשה שרון,16032,כריתה,רחל ליאל,בניה,,הרצליה,י.ל ברוך,16,6536,671,2019-07-09 00:00:00.000000,2021-07-11 00:00:00.000000,סוהיל זיידן,פקן תרבותי,1,,כריתה
מנשה שרון,16057,כריתה,אופיר דורטהיימר,בניה,,הרצליה,דוב הוז,29,6519,96,2020-01-20 00:00:00.000000,2022-01-20 00:00:00.000000,רמי דוידי,גואיבה מצויה,1,,כריתה
מנשה שרון,16057,כריתה,אופיר דורטהיימר,בניה,,הרצליה,דוב הוז,29,6519,96,2020-01-20 00:00:00.000000,2022-01-20 00:00:00.000000,רמי דוידי,הדרים,1,,תפוז לכריתה
מנשה שרון,16057,כריתה,אופיר דורטהיימר,בניה,,הרצליה,דוב הוז,29,6519,96,2020-01-20 00:00:00.000000,2022-01-20 00:00:00.000000,רמי דוידי,הדרים,1,,מנגו לכריתה
מנשה שרון,16057,כריתה,אופיר דורטהיימר,בניה,,הרצליה,דוב הוז,29,6519,96,2020-01-20 00:00:00.000000,2022-01-20 00:00:00.000000,רמי דוידי,שסק יפני,1,,כריתה
מנשה שרון,16121,כריתה,"אילן חכמון חברה לבנייין בע""מ",בניה,,הרצליה,הבנים,14,6539,36,2019-05-20 00:00:00.000000,2021-05-20 00:00:00.000000,סוהיל זיידן,אלמוגן,1,,כריתה
מנשה שרון,16121,כריתה,"אילן חכמון חברה לבנייין בע""מ",בניה,,הרצליה,הבנים,14,6539,36,2019-05-20 00:00:00.000000,2021-05-20 00:00:00.000000,סוהיל זיידן,ברוש מצוי,7,,כריתה
מנשה שרון,16121,כריתה,"אילן חכמון חברה לבנייין בע""מ",בניה,,הרצליה,הבנים,14,6539,36,2019-05-20 00:00:00.000000,2021-05-20 00:00:00.000000,סוהיל זיידן,ושינגטוניה חוטית,1,,כריתה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,אורן הצנובר,1,,כריתה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,אורן קפריסאי,1,,כריתה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,אזדרכת מצויה,1,,לכריתה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,אלמוגן,1,,לכריתה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,ברוש מצוי,41,,כריתה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,ברכיכיטון אדרי,1,,העתקה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,ברכיכיטון צפצפתי,1,,כריתה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,הרפפילום אפריקני,1,,כריתה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,הרפפילום אפריקני,2,,העתקה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,ושינגטוניה חסונה,4,,כריתה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,זית אירופי,1,,העתקה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,עץ לא מזוה מת -לכריתה,1,,פובוקרפוס ג.עלית להעתקה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,פלפלון דמוי-אלה,1,,כריתה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,פקן תרבותי,1,,העתקה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,צאלון נאה,1,,העתקה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,קזוארינה,3,,כריתה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,קליסטמון אדום,2,,כריתה
מנשה שרון,16148,כריתה,עידו חג'ג',בניה,,כפר שמריהו,הנרקיסים,34,6674,82,2020-05-04 00:00:00.000000,2022-05-04 00:00:00.000000,רמי דוידי,שפלרה מקרינה,1,,כריתה
מנשה שרון,16179,כריתה,"עמיגור ניהול נכסים בע""מ",בניה,,הרצליה,מתתיהו פינת מדינת היהודים,18,6517,426,2020-02-04 00:00:00.000000,2022-02-06 00:00:00.000000,רמי דוידי,אילנתה בלוטית,1,,לכריתה
מנשה שרון,16179,כריתה,"עמיגור ניהול נכסים בע""מ",בניה,,הרצליה,מתתיהו פינת מדינת היהודים,18,6517,426,2020-02-04 00:00:00.000000,2022-02-06 00:00:00.000000,רמי דוידי,אשלים,2,,לכריתה
מנשה שרון,16179,כריתה,"עמיגור ניהול נכסים בע""מ",בניה,,הרצליה,מתתיהו פינת מדינת היהודים,18,6517,426,2020-02-04 00:00:00.000000,2022-02-06 00:00:00.000000,רמי דוידי,ברושים,2,,לכריתה
מנשה שרון,16179,כריתה,"עמיגור ניהול נכסים בע""מ",בניה,,הרצליה,מתתיהו פינת מדינת היהודים,18,6517,426,2020-02-04 00:00:00.000000,2022-02-06 00:00:00.000000,רמי דוידי,צאלון דקריי,4,,לכריתה
מנשה שרון,16287,כריתה,ליאור חיוט,בניה,,הרצליה,הנשיא,63,6669,534,2020-01-29 00:00:00.000000,2022-01-30 00:00:00.000000,רמי דוידי,ברושים,1,,לכריתה
מנשה שרון,16287,כריתה,ליאור חיוט,בניה,,הרצליה,הנשיא,63,6669,534,2020-01-29 00:00:00.000000,2022-01-30 00:00:00.000000,רמי דוידי,זית אירופי,1,,לכריתה
מנשה שרון,16287,כריתה,ליאור חיוט,בניה,,הרצליה,הנשיא,63,6669,534,2020-01-29 00:00:00.000000,2022-01-30 00:00:00.000000,רמי דוידי,סיסם הודי,1,,לכריתה
מנשה שרון,16287,כריתה,ליאור חיוט,בניה,,הרצליה,הנשיא,63,6669,534,2020-01-29 00:00:00.000000,2022-01-30 00:00:00.000000,רמי דוידי,פלפלון דמוי-אלה,1,,לכריתה
מנשה שרון,16287,כריתה,ליאור חיוט,בניה,,הרצליה,הנשיא,63,6669,534,2020-01-29 00:00:00.000000,2022-01-30 00:00:00.000000,רמי דוידי,פקן תרבותי,1,,לכריתה
מנשה שרון,16287,כריתה,ליאור חיוט,בניה,,הרצליה,הנשיא,63,6669,534,2020-01-29 00:00:00.000000,2022-01-30 00:00:00.000000,רמי דוידי,קזוארינה,1,,עץ מס' 56 נוסף לכריתה
מנשה שרון,16287,כריתה,ליאור חיוט,בניה,,הרצליה,הנשיא,63,6669,534,2020-01-29 00:00:00.000000,2022-01-30 00:00:00.000000,רמי דוידי,קתרוסית מרובעת,1,,לכריתה
מנשה שרון,16287,כריתה,ליאור חיוט,בניה,,הרצליה,הנשיא,63,6669,534,2020-01-29 00:00:00.000000,2022-01-30 00:00:00.000000,רמי דוידי,שסק יפני,1,,לכריתה
מנשה שרון,16297,כריתה והעתקה,רכבת ישראל הפרדה מפלסית,בניה,,אביחיל,הפרדה מס'24,,,,2019-04-15 00:00:00.000000,2021-04-15 00:00:00.000000,גמלאי - יעקב ארק,ברוש מצוי,31,כריתה,כריתה
מנשה שרון,16297,כריתה והעתקה,רכבת ישראל הפרדה מפלסית,בניה,,אביחיל,הפרדה מס'24,,,,2019-04-15 00:00:00.000000,2021-04-15 00:00:00.000000,גמלאי - יעקב ארק,הדרים,27,כריתה,
מנשה שרון,16297,כריתה והעתקה,רכבת ישראל הפרדה מפלסית,בניה,,אביחיל,הפרדה מס'24,,,,2019-04-15 00:00:00.000000,2021-04-15 00:00:00.000000,גמלאי - יעקב ארק,זית אירופי,28,העתקה,להעתקה
מנשה שרון,16308,כריתה והעתקה,צחי טובי,בניה,,אבן יהודה,באר גנים עם רמת בן גוריון,גן משחקים דבור,8015,168,2021-01-05 00:00:00.000000,2023-01-05 00:00:00.000000,רמי דוידי,זית אירופי,1,העתקה,להעתקה
מנשה שרון,16308,כריתה והעתקה,צחי טובי,בניה,,אבן יהודה,באר גנים עם רמת בן גוריון,גן משחקים דבור,8015,168,2021-01-05 00:00:00.000000,2023-01-05 00:00:00.000000,רמי דוידי,סיגלון עלה-מימוסה,1,כריתה,לכריתה
מנשה שרון,16308,כריתה והעתקה,צחי טובי,בניה,,אבן יהודה,באר גנים עם רמת בן גוריון,גן משחקים דבור,8015,168,2021-01-05 00:00:00.000000,2023-01-05 00:00:00.000000,רמי דוידי,פלטופורום מסופק,7,כריתה,לכריתה
מנשה שרון,16308,כריתה והעתקה,צחי טובי,בניה,,אבן יהודה,באר גנים עם רמת בן גוריון,גן משחקים דבור,8015,168,2021-01-05 00:00:00.000000,2023-01-05 00:00:00.000000,רמי דוידי,תות,1,כריתה,נוסף לכריתה 14/12/20
מנשה שרון,16309,כריתה והעתקה,גואטה משה,בניה,,הרצליה,בני בנימין,22,6528,51,2020-07-09 00:00:00.000000,2022-07-10 00:00:00.000000,רמי דוידי,אזדרכת מצויה,2,כריתה,לכריתה
מנשה שרון,16309,כריתה והעתקה,גואטה משה,בניה,,הרצליה,בני בנימין,22,6528,51,2020-07-09 00:00:00.000000,2022-07-10 00:00:00.000000,רמי דוידי,אלמוגן,1,כריתה,לכריתה
מנשה שרון,16309,כריתה והעתקה,גואטה משה,בניה,,הרצליה,בני בנימין,22,6528,51,2020-07-09 00:00:00.000000,2022-07-10 00:00:00.000000,רמי דוידי,בוהיניה מגוונת,1,כריתה,לכריתה
מנשה שרון,16309,כריתה והעתקה,גואטה משה,בניה,,הרצליה,בני בנימין,22,6528,51,2020-07-09 00:00:00.000000,2022-07-10 00:00:00.000000,רמי דוידי,דקלים - גילת,1,כריתה,לכריתה
מנשה שרון,16309,כריתה והעתקה,גואטה משה,בניה,,הרצליה,בני בנימין,22,6528,51,2020-07-09 00:00:00.000000,2022-07-10 00:00:00.000000,רמי דוידי,ושינגטוניה חוטית,1,כריתה,לכריתה
מנשה שרון,16309,כריתה והעתקה,גואטה משה,בניה,,הרצליה,בני בנימין,22,6528,51,2020-07-09 00:00:00.000000,2022-07-10 00:00:00.000000,רמי דוידי,זית אירופי,2,העתקה,להעתקה
מנשה שרון,16309,כריתה והעתקה,גואטה משה,בניה,,הרצליה,בני בנימין,22,6528,51,2020-07-09 00:00:00.000000,2022-07-10 00:00:00.000000,רמי דוידי,זית אירופי,1,כריתה,לכריתה
מנשה שרון,16309,כריתה והעתקה,גואטה משה,בניה,,הרצליה,בני בנימין,22,6528,51,2020-07-09 00:00:00.000000,2022-07-10 00:00:00.000000,רמי דוידי,ינבוט בלוטי,1,כריתה,לכריתה
מנשה שרון,16309,כריתה והעתקה,גואטה משה,בניה,,הרצליה,בני בנימין,22,6528,51,2020-07-09 00:00:00.000000,2022-07-10 00:00:00.000000,רמי דוידי,סיגלון עלה-מימוסה,1,כריתה,לכריתה
מנשה שרון,16309,כריתה והעתקה,גואטה משה,בניה,,הרצליה,בני בנימין,22,6528,51,2020-07-09 00:00:00.000000,2022-07-10 00:00:00.000000,רמי דוידי,פיקוס בינימינה,9,כריתה,לכריתה
מנשה שרון,16309,כריתה והעתקה,גואטה משה,בניה,,הרצליה,בני בנימין,22,6528,51,2020-07-09 00:00:00.000000,2022-07-10 00:00:00.000000,רמי דוידי,קליסטמון,1,כריתה,לכריתה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,אזדרכת מצויה,1,כריתה,לכריתה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,אלמוגן,2,כריתה,לכריתה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,אראוקריה רמה,2,כריתה,לכריתה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,בוהיניה מגוונת,3,כריתה,לכריתה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,ברוש מצוי,7,כריתה,לכריתה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,דקל משולש,1,כריתה,דקל קנרי לכריתה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,ושינגטוניה חסונה,1,כריתה,לכריתה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,סיגלון עלה-מימוסה,1,כריתה,לכריתה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,עץ לא מזוה מת -לכריתה,1,כריתה,טויה לכריתה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,עץ לא מזוה מת -לכריתה,1,כריתה,לכריתה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,צפצפה מכסיפה,1,כריתה,לכריתה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,קולרויטריה מכבדית,5,העתקה,העתקה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,קולרויטריה מכבדית,6,כריתה,כריתה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,קליסטמון,2,כריתה,לכריתה
מנשה שרון,16345,כריתה והעתקה,החברה לפיתוח הרצליה,בניה,,הרצליה,תיכון מדעים,,6525,61,2019-06-04 00:00:00.000000,2021-06-06 00:00:00.000000,סוהיל זיידן,שסק יפני,1,כריתה,לכריתה
מנשה שרון,16346,כריתה,החברה לפיתוח הרצליה,בניה,,הרצליה,"שצ""פ במתחם זרובבל בהרצליה",,6525,"215,221,225-228,237",2020-03-15 00:00:00.000000,2022-03-15 00:00:00.000000,רמי דוידי,ברוש מצוי,6,,לכריתה
מנשה שרון,16346,כריתה,החברה לפיתוח הרצליה,בניה,,הרצליה,"שצ""פ במתחם זרובבל בהרצליה",,6525,"215,221,225-228,237",2020-03-15 00:00:00.000000,2022-03-15 00:00:00.000000,רמי דוידי,דקל משולש,1,,דקל תמר לכריתה
מנשה שרון,16346,כריתה,החברה לפיתוח הרצליה,בניה,,הרצליה,"שצ""פ במתחם זרובבל בהרצליה",,6525,"215,221,225-228,237",2020-03-15 00:00:00.000000,2022-03-15 00:00:00.000000,רמי דוידי,ושינגטוניה חסונה,1,,לכריתה
מנשה שרון,16346,כריתה,החברה לפיתוח הרצליה,בניה,,הרצליה,"שצ""פ במתחם זרובבל בהרצליה",,6525,"215,221,225-228,237",2020-03-15 00:00:00.000000,2022-03-15 00:00:00.000000,רמי דוידי,פקן תרבותי,7,,לכריתה
מנשה שרון,16346,כריתה,החברה לפיתוח הרצליה,בניה,,הרצליה,"שצ""פ במתחם זרובבל בהרצליה",,6525,"215,221,225-228,237",2020-03-15 00:00:00.000000,2022-03-15 00:00:00.000000,רמי דוידי,שיטה כחלחלה,1,,לכריתה
מנשה שרון,16346,כריתה,החברה לפיתוח הרצליה,בניה,,הרצליה,"שצ""פ במתחם זרובבל בהרצליה",,6525,"215,221,225-228,237",2020-03-15 00:00:00.000000,2022-03-15 00:00:00.000000,רמי דוידי,תות,1,,לכריתה
מנשה שרון,16359,כריתה,"חברת נוה שוסטר בע""מ",בניה,,הרצליה,אפרים קישון,29,6524,87,2021-01-25 00:00:00.000000,2023-01-25 00:00:00.000000,רמי דוידי,אקליפטוסים,4,,לכריתה
מנשה שרון,16359,כריתה,"חברת נוה שוסטר בע""מ",בניה,,הרצליה,אפרים קישון,29,6524,87,2021-01-25 00:00:00.000000,2023-01-25 00:00:00.000000,רמי דוידי,פקן תרבותי,6,,לכריתה
מנשה שרון,16395,כריתה,רוית ויוי פנקס,בניה,,כרכור,השלום,2,10073,45,2019-09-29 00:00:00.000000,2021-09-29 00:00:00.000000,רמי דוידי,פקן תרבותי,1,,כריתה
מנשה שרון,16441,כריתה והעתקה,מ.אזורית חוף השרון,בניה,,שפיים,בית החינוך המשותף,,8936,10,2019-04-30 00:00:00.000000,2021-04-29 00:00:00.000000,סוהיל זיידן,אקליפטוסים,2,כריתה,לכריתה
מנשה שרון,16441,כריתה והעתקה,מ.אזורית חוף השרון,בניה,,שפיים,בית החינוך המשותף,,8936,10,2019-04-30 00:00:00.000000,2021-04-29 00:00:00.000000,סוהיל זיידן,דקל משולש,1,העתקה,דקל טבעות להעתקה
מנשה שרון,16441,כריתה והעתקה,מ.אזורית חוף השרון,בניה,,שפיים,בית החינוך המשותף,,8936,10,2019-04-30 00:00:00.000000,2021-04-29 00:00:00.000000,סוהיל זיידן,זית אירופי,1,העתקה,העתקה
מנשה שרון,16441,כריתה והעתקה,מ.אזורית חוף השרון,בניה,,שפיים,בית החינוך המשותף,,8936,10,2019-04-30 00:00:00.000000,2021-04-29 00:00:00.000000,סוהיל זיידן,פלטופורום מסופק,1,כריתה,לכריתה
מנשה שרון,16441,כריתה והעתקה,מ.אזורית חוף השרון,בניה,,שפיים,בית החינוך המשותף,,8936,10,2019-04-30 00:00:00.000000,2021-04-29 00:00:00.000000,סוהיל זיידן,קולרויטריה דו-נוצתית,1,כריתה,לכריתה
מנשה שרון,16450,כריתה,רות מצרי בן עמי,בניה,,בנימינה,גבעת הפרחים,מגרש 34 א'+ב',10215,780,2019-08-12 00:00:00.000000,2021-08-12 00:00:00.000000,רמי דוידי,ברוש מצוי,2,,לכריתה
מנשה שרון,16514,כריתה,נתיבי ישראל,בניה,,כבישים,נתיב תחבורה ציבורית כביש 4 ו-5 מחלף מורש,,,,2020-11-26 00:00:00.000000,2022-11-27 00:00:00.000000,רמי דוידי,איקליפטוס המקור,40,,כריתה
מנשה שרון,16514,כריתה,נתיבי ישראל,בניה,,כבישים,נתיב תחבורה ציבורית כביש 4 ו-5 מחלף מורש,,,,2020-11-26 00:00:00.000000,2022-11-27 00:00:00.000000,רמי דוידי,ברוש מצוי,27,,כריתה
מנשה שרון,16514,כריתה,נתיבי ישראל,בניה,,כבישים,נתיב תחבורה ציבורית כביש 4 ו-5 מחלף מורש,,,,2020-11-26 00:00:00.000000,2022-11-27 00:00:00.000000,רמי דוידי,ושינגטוניה חסונה,3,,כריתה
מנשה שרון,16514,כריתה,נתיבי ישראל,בניה,,כבישים,נתיב תחבורה ציבורית כביש 4 ו-5 מחלף מורש,,,,2020-11-26 00:00:00.000000,2022-11-27 00:00:00.000000,רמי דוידי,זית אירופי,1,,כריתה
מנשה שרון,16514,כריתה,נתיבי ישראל,בניה,,כבישים,נתיב תחבורה ציבורית כביש 4 ו-5 מחלף מורש,,,,2020-11-26 00:00:00.000000,2022-11-27 00:00:00.000000,רמי דוידי,זית אירופי,48,,מטע זיתים נוסף לכריתה 13/1/21
מנשה שרון,16514,כריתה,נתיבי ישראל,בניה,,כבישים,נתיב תחבורה ציבורית כביש 4 ו-5 מחלף מורש,,,,2020-11-26 00:00:00.000000,2022-11-27 00:00:00.000000,רמי דוידי,סיגלון עלה-מימוסה,1,,כריתה
מנשה שרון,16514,כריתה,נתיבי ישראל,בניה,,כבישים,נתיב תחבורה ציבורית כביש 4 ו-5 מחלף מורש,,,,2020-11-26 00:00:00.000000,2022-11-27 00:00:00.000000,רמי דוידי,פיקוס בינימינה,1,,כריתה
מנשה שרון,16514,כריתה,נתיבי ישראל,בניה,,כבישים,נתיב תחבורה ציבורית כביש 4 ו-5 מחלף מורש,,,,2020-11-26 00:00:00.000000,2022-11-27 00:00:00.000000,רמי דוידי,שיזף מצוי,2,,כריתה
מנשה שרון,16514,כריתה,נתיבי ישראל,בניה,,כבישים,נתיב תחבורה ציבורית כביש 4 ו-5 מחלף מורש,,,,2020-11-26 00:00:00.000000,2022-11-27 00:00:00.000000,רמי דוידי,שיטה כחלחלה,5,,כריתה
מנשה שרון,16514,כריתה,נתיבי ישראל,בניה,,כבישים,נתיב תחבורה ציבורית כביש 4 ו-5 מחלף מורש,,,,2020-11-26 00:00:00.000000,2022-11-27 00:00:00.000000,רמי דוידי,תות שחור,1,,כריתה
מנשה שרון,16575,כריתה,נתן שטראוס,בניה,,בית יצחק,סמטת ההדרים,22,8280,31 מגרש 717,2019-09-30 00:00:00.000000,2021-09-30 00:00:00.000000,רמי דוידי,אזדרכת מצויה,1,,לכריתה
מנשה שרון,16575,כריתה,נתן שטראוס,בניה,,בית יצחק,סמטת ההדרים,22,8280,31 מגרש 717,2019-09-30 00:00:00.000000,2021-09-30 00:00:00.000000,רמי דוידי,ברוש מצוי,4,,לכריתה
מנשה שרון,16575,כריתה,נתן שטראוס,בניה,,בית יצחק,סמטת ההדרים,22,8280,31 מגרש 717,2019-09-30 00:00:00.000000,2021-09-30 00:00:00.000000,רמי דוידי,הדרים,1,,לכריתה
מנשה שרון,16576,כריתה,לנגר+גולדשטיין,בניה,,הרצליה,יציאת אירופה,8,6558,594,2019-04-07 00:00:00.000000,2021-04-07 00:00:00.000000,גמלאי - יעקב ארק,ברושים,4,,ברוש לימוני לכריתה
מנשה שרון,16576,כריתה,לנגר+גולדשטיין,בניה,,הרצליה,יציאת אירופה,8,6558,594,2019-04-07 00:00:00.000000,2021-04-07 00:00:00.000000,גמלאי - יעקב ארק,פיקוס בינימינה,1,,לכריתה
מנשה שרון,16588,כריתה,אברהם זילברפלד,בניה,,גבעת עדה,הראשונים,20,10132,88,2019-12-19 00:00:00.000000,2021-12-19 00:00:00.000000,רמי דוידי,ושינגטוניה חסונה,1,,לכריתה
מנשה שרון,16588,כריתה,אברהם זילברפלד,בניה,,גבעת עדה,הראשונים,20,10132,88,2019-12-19 00:00:00.000000,2021-12-19 00:00:00.000000,רמי דוידי,קולרויטריה מכבדית,1,,לכריתה
מנשה שרון,16599,כריתה,אדיר ויפעת אסרף,בניה,,כפר סבא,קיבוץ גלויות,15,6429,136,2019-12-31 00:00:00.000000,2021-12-31 00:00:00.000000,רמי דוידי,ברוש מצוי,1,,לכריתה
מנשה שרון,16618,כריתה,"י.שושני נדל""ן בע""מ",בניה,,הרצליה,בן יהודה,16,6538,479,2019-03-19 00:00:00.000000,2021-03-21 00:00:00.000000,גמלאי - יעקב ארק,אורנים,2,,לכריתה
מנשה שרון,16618,כריתה,"י.שושני נדל""ן בע""מ",בניה,,הרצליה,בן יהודה,16,6538,479,2019-03-19 00:00:00.000000,2021-03-21 00:00:00.000000,גמלאי - יעקב ארק,פלטופורום מסופק,2,,לכריתה
מנשה שרון,16631,כריתה,קיבוץ עין החורש,בניה,,עין החורש,משפחת שני,,8421,8 מגרש 23,2019-08-14 00:00:00.000000,2021-08-15 00:00:00.000000,רמי דוידי,ברוש מצוי,1,,גדם לכריתה
מנשה שרון,16631,כריתה,קיבוץ עין החורש,בניה,,עין החורש,משפחת שני,,8421,8 מגרש 23,2019-08-14 00:00:00.000000,2021-08-15 00:00:00.000000,רמי דוידי,ברושים,2,,לכריתה
מנשה שרון,16631,כריתה,קיבוץ עין החורש,בניה,,עין החורש,משפחת שני,,8421,8 מגרש 23,2019-08-14 00:00:00.000000,2021-08-15 00:00:00.000000,רמי דוידי,קליסטמון,2,,לכריתה
מנשה שרון,16723,כריתה,קיבוץ עין השופט,בניה,,עין השופט,מפעל מיברג דרום - בניית מחסן,,"11423 ח""ח 9,19","גוש 11425 ח""ח 2-3,15 גוש 11926 ח""ח 16",2020-03-01 00:00:00.000000,2022-03-01 00:00:00.000000,רמי דוידי,ברושים,10,,כריתה
מנשה שרון,16723,כריתה,קיבוץ עין השופט,בניה,,עין השופט,מפעל מיברג דרום - בניית מחסן,,"11423 ח""ח 9,19","גוש 11425 ח""ח 2-3,15 גוש 11926 ח""ח 16",2020-03-01 00:00:00.000000,2022-03-01 00:00:00.000000,רמי דוידי,חרוב מצוי,1,,כריתה
